parcelid	land use	zoning	assessed total	appraised total
04840006000	single family units  	B. Two Family Residential	$36,990.00	$194,700.00
06210000100	Commercial  	G. Local Commercial and Office	$13,300.00	$41,600.00
03940000600	vacant residential lot  	D. Multiple Family Residential	$4,560.00	$24,000.00
02570000750	Commercial  	D. Multiple Family Residential	$48,000.00	$150,000.00
04660301910	single family units  	D. Multiple Family Residential	$26,940.00	$141,800.00
02620003600	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
05960000100	vacant residential lot  	C. Multiple Family Residential	$440.00	$2,300.00
06040000700	Commercial  	J. Industrial	$1,400.00	$4,400.00
01550000700	Commercial  	I. Central Business District	$70,600.00	$220,600.00
04650401210	Commercial  	D. Multiple Family Residential	$8,400.00	$26,300.00
00730300450	Commercial  	J. Industrial	$89,100.00	$278,400.00
04290000400	Commercial  	K. Unrestricted	$54,800.00	$171,300.00
06660002400	single family units  	D. Multiple Family Residential	$38,720.00	$203,800.00
05290000400	Commercial  	I. Central Business District	$39,000.00	$121,900.00
02780000400	Commercial  	I. Central Business District	$20,700.00	$64,700.00
04820300820	vacant residential lot  	C. Multiple Family Residential	$5,640.00	$29,700.00
03390000900	vacant residential lot  	J. Industrial	$110.00	$600.00
04750001750	single family units  	A. Single Family Residential	$26,390.00	$138,900.00
03410001800	Commercial  	J. Industrial	$600.00	$1,900.00
07790000700	vacant residential lot  	G. Local Commercial and Office	$1,140.00	$6,000.00
03910001700	single family units  	D. Multiple Family Residential	$27,490.00	$144,700.00
06240001000	vacant residential lot  	F. Neighborhood Commercial	$110.00	$600.00
06790000700	single family units  	D. Multiple Family Residential	$46,720.00	$245,900.00
04040080510	 	D. Multiple Family Residential		
03930000160	Commercial  		$79,100.00	$247,200.00
00220000250	Commercial  	K. Unrestricted	$272,600.00	$851,900.00
00970000200	Commercial  	L. Jefferson Memorial District	$71,670.00	$377,200.00
07050000350	Commercial  	J. Industrial, K. Unrestricted	$657,700.00	$2,055,300.00
03200000200	Commercial  	K. Unrestricted	$18,400.00	$57,500.00
04220000500	Commercial  	K. Unrestricted	$31,200.00	$97,500.00
04830402900	single family units  	C. Multiple Family Residential	$56,370.00	$296,700.00
04370000400	Commercial  	I. Central Business District	$2,000.00	$6,300.00
01820000300	Commercial  	I. Central Business District	$92,400.00	$288,800.00
05120000200	Commercial  	I. Central Business District	$0.00	$0.00
06800000400				
05370000400	Commercial  	J. Industrial	$30,000.00	$93,800.00
07800000400	single family units  	D. Multiple Family Residential	$49,570.00	$260,900.00
03430000200	Commercial  	J. Industrial	$600.00	$1,900.00
04630402100	Commercial  	I. Central Business District	$21,600.00	$67,500.00
04850002800				
04740300800	three family unit  	D. Multiple Family Residential	$12,620.00	$66,400.00
03840001600	multi-building residential  	G. Local Commercial and Office	$38,780.00	$204,100.00
06310001100	vacant residential lot  	J. Industrial	$170.00	$900.00
06840001150	four family unit  	D. Multiple Family Residential	$45,220.00	$238,000.00
03720002600				
02460001300	Commercial  	K. Unrestricted	$0.00	$0.00
06630001250	Commercial  	D. Multiple Family Residential	$54,300.00	$169,700.00
03300001200	Commercial  	K. Unrestricted	$1,200.00	$3,800.00
03950002500	vacant residential lot  	G. Local Commercial and Office	$4,560.00	$24,000.00
04660300200	single family units  	D. Multiple Family Residential	$41,860.00	$220,300.00
00190000450	Commercial  	K. Unrestricted	$29,700.00	$92,800.00
05650000750	Commercial  	J. Industrial	$3,800.00	$11,900.00
06420000100	multi-family residential  	D. Multiple Family Residential	$118,160.00	$621,900.00
07110000600	Commercial  	G. Local Commercial and Office	$171,900.00	$537,200.00
06670000700	two family unit  	G. Local Commercial and Office	$51,050.00	$268,700.00
04170000470	Commercial  	I. Central Business District	$800.00	$2,500.00
00180000860	Commercial  	L. Jefferson Memorial District	$600.00	$1,900.00
06790000300	four family unit  	D. Multiple Family Residential	$37,410.00	$196,900.00
07810002300	vacant residential lot  	D. Multiple Family Residential	$3,040.00	$16,000.00
03870600150	vacant residential lot  	D. Multiple Family Residential	$3,040.00	$16,000.00
03240001350	Commercial  	J. Industrial	$65,600.00	$205,000.00
06810002300	two family unit  	D. Multiple Family Residential	$32,570.00	$171,400.00
07790000300	Commercial  	G. Local Commercial and Office	$116,300.00	$363,400.00
06240001400	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
04220000100	Commercial  	K. Unrestricted	$12,100.00	$37,800.00
03950000650	vacant residential lot  	D. Multiple Family Residential	$890.00	$4,700.00
03730000100	four family unit  	D. Multiple Family Residential	$28,180.00	$148,300.00
04090001700	single family units  	D. Multiple Family Residential	$26,710.00	$140,600.00
01250081510	 	I. Central Business District		
07600000800	Commercial  	K. Unrestricted	$41,500.00	$129,700.00
01470000900				
05520000330	Commercial  	D. Multiple Family Residential	$12,600.00	$39,400.00
04640401240	single family units  	D. Multiple Family Residential	$26,280.00	$138,300.00
01780080210	 	I. Central Business District		
02730000100	Commercial  	I. Central Business District	$8,520,000.00	$26,625,000.00
01060000400	Commercial  	L. Jefferson Memorial District	$1,190,100.00	$3,719,100.00
02940000200	Commercial  	K. Unrestricted	$82,700.00	$258,400.00
05960000500	vacant residential lot  	C. Multiple Family Residential	$630.00	$3,300.00
06040000300	Commercial  	J. Industrial	$0.00	$0.00
02210000250	Commercial  	I. Central Business District	$0.00	$0.00
02620003200	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
00230000200	Commercial  	L. Jefferson Memorial District	$968,400.00	$3,026,300.00
04840006400	single family units  	B. Two Family Residential	$25,940.00	$136,500.00
03720000550	single family units  	D. Multiple Family Residential	$43,870.00	$230,900.00
01700000500	Commercial  	I. Central Business District	$46,000.00	$143,800.00
05980001500	Commercial  	J. Industrial	$400.00	$1,300.00
03940000200	vacant residential lot  	D. Multiple Family Residential	$930.00	$4,900.00
04670302500	single family units  	D. Multiple Family Residential	$36,370.00	$191,400.00
04730300700	Commercial  	D. Multiple Family Residential	$23,400.00	$73,100.00
01730080310	 	I. Central Business District		
06900001000	Commercial  	K. Unrestricted	$72,500.00	$226,600.00
05560300100	Commercial  		$4,300.00	$13,400.00
03830001900	Commercial  	D. Multiple Family Residential	$46,000.00	$143,800.00
04840002850	single family units  	B. Two Family Residential	$41,590.00	$218,900.00
03950002100	single family units  	G. Local Commercial and Office	$35,400.00	$186,300.00
04660300600	single family units  	D. Multiple Family Residential	$55,250.00	$290,800.00
03630001100	multi-family residential  	D. Multiple Family Residential	$107,880.00	$567,800.00
01610001150	Commercial  	I. Central Business District	$12,000.00	$37,500.00
07110000200	Commercial  	G. Local Commercial and Office	$104,000.00	$325,000.00
06670000300	vacant residential lot  	G. Local Commercial and Office	$3,800.00	$20,000.00
03420000250				
02340000350	Commercial  	K. Unrestricted	$1,100.00	$3,400.00
02810000300	Commercial  	I. Central Business District	$1,579,200.00	$4,935,000.00
04410000100	Commercial  	J. Industrial	$202,900.00	$634,100.00
03910000810	four family unit  	D. Multiple Family Residential	$28,980.00	$152,500.00
00520000800	Commercial  	L. Jefferson Memorial District	$1,900.00	$5,900.00
01240000900	Commercial  	I. Central Business District	$22,200.00	$69,400.00
03430000600	Commercial  	J. Industrial	$170,200.00	$531,900.00
01520000800	Commercial  	I. Central Business District	$4,700.00	$14,700.00
05120000600	Commercial  	I. Central Business District	$0.00	$0.00
01600001500	Commercial  	L. Jefferson Memorial District	$20,100.00	$62,800.00
03840001200	single family units  	G. Local Commercial and Office	$47,730.00	$251,200.00
06840001550	two family unit  	D. Multiple Family Residential	$26,980.00	$142,000.00
01810080110	 	I. Central Business District		
04640400950	Commercial  	D. Multiple Family Residential	$16,900.00	$52,800.00
00180000400	Commercial  	L. Jefferson Memorial District	$71,200.00	$222,500.00
05160080110	 	I. Central Business District		
03830001300	two family unit  	D. Multiple Family Residential	$21,220.00	$111,700.00
06610400800	Commercial  	K. Unrestricted	$70,400.00	$220,000.00
06400001500	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
03350300170	Commercial  	K. Unrestricted	$10,000.00	$31,300.00
07830001450	multi-family residential  	D. Multiple Family Residential	$84,740.00	$446,000.00
03960000910	vacant residential lot  	D. Multiple Family Residential	$990.00	$5,200.00
05300000100	Commercial  	I. Central Business District	$186,300.00	$582,200.00
03940000800	vacant residential lot  	D. Multiple Family Residential	$910.00	$4,800.00
03150000110	Commercial  	K. Unrestricted	$67,100.00	$209,700.00
03440000700	vacant residential lot  	J. Industrial	$210.00	$1,100.00
05630000600	single family units  	D. Multiple Family Residential	$22,230.00	$117,000.00
04300000100	Commercial  	K. Unrestricted	$161,900.00	$505,900.00
06040000900	Commercial  	J. Industrial	$26,000.00	$81,300.00
02620003800	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
04480001000	Commercial  	J. Industrial	$115,200.00	$360,000.00
05150000700	Commercial  	I. Central Business District	$383,500.00	$1,198,400.00
00140000400	Commercial  	L. Jefferson Memorial District	$13,000.00	$40,600.00
03860000200	two family unit  	D. Multiple Family Residential	$43,950.00	$231,300.00
01490001300	Commercial  		$34,400.00	$107,500.00
05620000250	Commercial  	D. Multiple Family Residential	$15,700.00	$49,100.00
07600000200	Commercial  	K. Unrestricted	$27,700.00	$86,600.00
06160000300	Commercial  	G. Local Commercial and Office	$2,400.00	$7,500.00
04820901000	single family units  	B. Two Family Residential	$51,810.00	$272,700.00
02860000200	Commercial  	K. Unrestricted	$0.00	$0.00
03390000700	Commercial  	J. Industrial	$200.00	$600.00
06820001000	four family unit  	D. Multiple Family Residential	$33,690.00	$177,300.00
02150300100	Commercial  	I. Central Business District	$0.00	$0.00
02680000110	Commercial  	D. Multiple Family Residential	$4,900.00	$15,300.00
03640001000	vacant residential lot  	D. Multiple Family Residential	$130.00	$700.00
04740300600	three family unit  	D. Multiple Family Residential	$27,080.00	$142,500.00
04850002600	single family units  	B. Two Family Residential	$43,870.00	$230,900.00
04750001530	vacant residential lot  	A. Single Family Residential	$1,600.00	$8,400.00
03840001800	multi-building residential  	G. Local Commercial and Office	$46,680.00	$245,700.00
03970000120	vacant residential lot  		$104,160.00	$548,200.00
05070000160				
01520000200	Commercial  		$20,600.00	$64,400.00
03380002400	vacant residential lot  	J. Industrial	$100.00	$500.00
01770000400	Commercial  	I. Central Business District	$18,600.00	$58,100.00
01240000300	Commercial  	I. Central Business District	$11,100.00	$34,700.00
00520000200	Commercial  		$1,700.00	$5,300.00
06900000110	Commercial  	K. Unrestricted	$48,000.00	$150,000.00
06670000900	two family unit  	G. Local Commercial and Office	$29,620.00	$155,900.00
07110000800	Commercial  	G. Local Commercial and Office	$80,000.00	$250,000.00
00590000300	Commercial  		$10,300.00	$32,200.00
06040001210	Commercial  	J. Industrial	$0.00	$0.00
05620002500	single family units  	D. Multiple Family Residential	$7,050.00	$37,100.00
06700001200	two family unit  	D. Multiple Family Residential	$25,760.00	$135,600.00
04650303500	vacant residential lot  	D. Multiple Family Residential	$2,050.00	$10,800.00
01590000300	Commercial  		$16,400.00	$51,300.00
06230001500	four family unit  	D. Multiple Family Residential	$13,510.00	$71,100.00
06080000300	Commercial  	K. Unrestricted	$6,400.00	$20,000.00
03590001100	vacant residential lot  	D. Multiple Family Residential	$190.00	$1,000.00
04771400250	Commercial  	D. Multiple Family Residential	$27,600.00	$86,300.00
03720000700	multi-building residential  	D. Multiple Family Residential	$50,650.00	$266,600.00
05760000330	Commercial  	J. Industrial	$100.00	$300.00
05060000100	Commercial  	I. Central Business District	$512,000.00	$1,600,000.00
01940000110	Commercial  	I. Central Business District	$128,000.00	$400,000.00
06440000800	Commercial  	J. Industrial	$20,800.00	$65,000.00
04850000900	single family units  	B. Two Family Residential	$41,020.00	$215,900.00
02720000700	Commercial  	I. Central Business District	$54,500.00	$170,300.00
06320000900	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
03610000950	vacant residential lot  	F. Neighborhood Commercial	$210.00	$1,100.00
00150000800	Commercial  	L. Jefferson Memorial District	$112,000.00	$350,000.00
01550000150	Commercial  	I. Central Business District	$13,600.00	$42,500.00
04820301900	Commercial  	D. Multiple Family Residential	$3,600.00	$11,300.00
03570000100	Commercial  		$0.00	$0.00
07800002500	vacant residential lot  	D. Multiple Family Residential	$3,040.00	$16,000.00
04290000250	Commercial  	I. Central Business District	$102,600.00	$320,600.00
07780000500				
03900001500	vacant residential lot  	D. Multiple Family Residential	$1,900.00	$10,000.00
00500001050	Commercial  	L. Jefferson Memorial District	$43,200.00	$135,000.00
02790000600	Commercial  	I. Central Business District	$453,700.00	$1,417,800.00
05030001000	Commercial  	I. Central Business District	$91,500.00	$285,900.00
06600400400	Commercial  	K. Unrestricted	$0.00	$0.00
00680000800	Commercial  	L. Jefferson Memorial District	$211,100.00	$659,700.00
06790000150	Commercial  	D. Multiple Family Residential	$65,600.00	$205,000.00
02200000450	Commercial  	I. Central Business District	$110,500.00	$345,300.00
05970000300	Commercial  	J. Industrial	$1,500.00	$4,700.00
05520000160	Commercial  	D. Multiple Family Residential	$4,700.00	$14,700.00
